lemma,language,saliency rank,saliency score
brightness,es,138,5.934658311907391
confinement,es,139,5.929612204579373
top,en,140,5.907271478554677
genre,es,141,5.904127996684716
catastrophe,zh,142,5.889793075954353
mine,en,143,5.843099112726679
war,nl,144,5.824966374707535
sex,en,145,5.810957198037626
store,en,146,5.803119898400104
big,en,147,5.785504060787531
universe,zh,148,5.784290317332609
unhealthy,nl,149,5.7840381444682585
penalty,es,150,5.757424092663796
crucifix,zh,151,5.743907112740098
opportunity,es,152,5.7163539607041995
trip,en,153,5.715189582532314
crowded,zh,154,5.71479108542726
road,nl,155,5.694634711316173
pornography,zh,156,5.692948259782116
incense,zh,157,5.6842672800489895
life,es,158,5.679663413838726
happy,en,159,5.675812838164937
pie,en,160,5.663548072910895
watermelon,zh,161,5.653646932070175
childhood,es,162,5.646018206403005
game,zh,163,5.635892641918786
teen,zh,164,5.630575073441515
transit,es,165,5.586003434377849
solidarity,es,166,5.574179824212925
merchandise,zh,167,5.563692620404231
embarrassing,zh,168,5.557847381908751
cook,en,169,5.551183525038253
stress,nl,170,5.541557006600977
smell,es,171,5.529532475864323
competitive,zh,172,5.52616838491107
sweet,es,173,5.501722704963417
method,zh,174,5.491133129163023
faculty,es,175,5.4716648675253206
hate,zh,176,5.46927016261417
research,nl,177,5.468841299708878
share,es,178,5.433169842481755
goat,zh,179,5.417974540057374
activity,zh,180,5.4178268735813315
happiness,es,181,5.416966786672746
social,zh,182,5.4136674820663835
state,es,183,5.409117658547134
cleaning,es,184,5.385061606115241
pressure,nl,185,5.372912038453079
rejection,zh,186,5.362673699203357
loyalty,nl,187,5.339722188596222
morality,zh,188,5.336047970803492
darkness,zh,189,5.335355570205687
back,en,190,5.325157551924235
graduate,zh,191,5.312897685263447
land,zh,192,5.306411130439016
science,en,193,5.304013872377633
street,es,194,5.29498633960272
cut,en,195,5.291291695280593
water,nl,196,5.282421935253648
company,zh,197,5.268930300034823
race,en,198,5.262500936599409
affection,es,199,5.259139655675771
fresco,es,200,5.258767977708902
surrender,nl,201,5.2557979649808955
film,nl,202,5.2468218998763065
together,nl,203,5.242653473461388
mysterious,zh,204,5.236490507469565
bright,en,205,5.232858364406086
rifle,nl,206,5.20854739629874
advance,es,207,5.207705895110043
nervous,zh,208,5.2049148551778375
car,en,209,5.194938693591972
classmate,es,210,5.190891540102459
arm,nl,211,5.187208154767373
emperor,zh,212,5.180253636013773
bill,en,213,5.176883608344237
closet,nl,214,5.160050614992146
read,nl,215,5.142737177903761
sing,en,216,5.14154303656694
letter,es,217,5.116800288704765
horizontal,zh,218,5.112313597152738
smell,en,219,5.105375468112638
positive,nl,220,5.102424652336857
sick,en,221,5.101706789063169
account,es,222,5.099675558267088
belly,nl,223,5.097877874845281
humidity,es,224,5.094483143312348
child,nl,225,5.092005826624178
boss,nl,226,5.086930507716272
moment,es,227,5.072977526869398
funny,en,228,5.0596091254675795
beach,es,229,5.056920010014452
current,es,230,5.039260254626846
mixture,es,231,5.037480440879209
cafe,nl,232,5.023111471003878
youth,nl,233,5.006212038736866
plagiarism,zh,234,5.002834808365833
hunger,es,235,5.000490263488654
imagination,es,236,4.999160090167731
mind,en,237,4.980481003093713
clean,en,238,4.959315991207057
route,es,239,4.950630091477585
ideal,zh,240,4.949369330740559
horse,en,241,4.937533866376911
discussion,es,242,4.924105310477061
ruler,en,243,4.923394444078592
large,es,244,4.922886335510819
bug,en,245,4.921691522869422
expensive,zh,246,4.920029659717365
year,es,247,4.891150885325533
enthusiasm,zh,248,4.885493572300524
bless,nl,249,4.885072854673529
response,es,250,4.880538892463725
seafood,zh,251,4.87934906687027
diet,zh,252,4.879296678326423
tiny,en,253,4.877497287054437
cinema,es,254,4.865285636353917
follow,es,255,4.863413651213579
cheerful,nl,256,4.859889979494795
mission,zh,257,4.8428453429920015
yellow,nl,258,4.828105895981566
northeast,zh,259,4.812976946501928
hypocrisy,zh,260,4.812390571622988
post,nl,261,4.8028325894904
cuisine,zh,262,4.802710522401983
management,zh,263,4.799023968492608
even,en,264,4.798846433012176
aroma,es,265,4.794013300465561
argument,en,266,4.7915233594265585
rock,en,267,4.790876702110944
stimulate,zh,268,4.783604324834988
body,es,269,4.776880076811232
feudal,zh,270,4.771008668044357
advertising,nl,271,4.761545517982346
try,en,272,4.753788260028034
wedding,en,273,4.75195407086271
run,en,274,4.749860268237859
free,es,275,4.7327356371953035
order,es,276,4.729890373585307
hold,en,277,4.7223676292270085
fish,en,278,4.7165917192889255
financial,zh,279,4.712600348945834
one,en,280,4.7072152545014685
barbecue,zh,281,4.704817538900075
old,en,282,4.688181568991301
roommate,es,283,4.669296186297073
respect,es,284,4.664233324686527
contradiction,zh,285,4.661701495038526
development,zh,286,4.657378840813452
pain,es,287,4.651716868101108
homeland,es,288,4.650001901970581
wet,nl,289,4.646654697039519
crime,zh,290,4.639903873795144
exaggerated,nl,291,4.632548179418022
talk,nl,292,4.629323597595466
woman,nl,293,4.626304936454205
music,nl,294,4.61964051460087
skirt,zh,295,4.618720154778267
pant,nl,296,4.607398102777447
treatment,zh,297,4.5853254378834505
exchange,zh,298,4.5852291832449135
dancing,nl,299,4.584912322142768
princess,zh,300,4.583554176957941
marry,nl,301,4.582199704596206
classroom,zh,302,4.574498846389598
apple,zh,303,4.573881307666126
punishment,nl,304,4.571721616147631
communication,es,305,4.571026243062413
tire,nl,306,4.567541445620732
necessity,es,307,4.560050926126097
indifference,zh,308,4.553710520173937
ship,en,309,4.532404224241826
ditto,nl,310,4.5266144491289735
smile,en,311,4.52414818139688
baseball,en,312,4.522269226783426
parade,zh,313,4.52177471300217
strict,nl,314,4.516019063548084
dog,en,315,4.5013493049486835
cash,en,316,4.5007803696245015
paper,en,317,4.498084705954901
serious,zh,318,4.482955581725346
bamboo,zh,319,4.473783461818144
police,nl,320,4.471338200298698
damp,zh,321,4.465435466445397
man,nl,322,4.463629743449481
responsibility,zh,323,4.462545824024081
encounter,es,324,4.456482396749816
blurred,zh,325,4.4544008600385405
resource,zh,326,4.452051059004893
municipality,nl,327,4.449502711108922
computer,zh,328,4.434545934611963
purchase,es,329,4.426210988093061
present,en,330,4.415717235099354
beat,en,331,4.414280799890841
option,es,332,4.408114578048641
location,es,333,4.407499345067068
good,en,334,4.404973383457479
crash,en,335,4.401233272553069
file,zh,336,4.396907937191392
village,es,337,4.389700511773758
vision,es,338,4.386554624018805
cooking,nl,339,4.3853356523391644
coercion,nl,340,4.37989647553685
tea,en,341,4.374634456486574
doubt,es,342,4.369929069616411
incident,zh,343,4.368747518572416
cold,es,344,4.360993383414116
laugh,nl,345,4.353020348976802
organization,zh,346,4.349565754307315
touch,en,347,4.347931438482388
heal,es,348,4.345949610751814
guide,es,349,4.343669652858765
swimming,nl,350,4.339772223550784
dinner,en,351,4.336851022641261
pathetic,nl,352,4.320154699105219
feel,nl,353,4.316244047086698
neighborhood,es,354,4.315324951066035
spicy,zh,355,4.308726603095986
variety,es,356,4.306051457522494
fake,en,357,4.299320267451954
form,es,358,4.29792513034399
politician,es,359,4.2968644011728
scissor,zh,360,4.296010010416772
fear,es,361,4.295655413422081
test,en,362,4.292125845749264
actor,zh,363,4.286159261106243
public,es,364,4.285683439538444
efficiency,zh,365,4.278721851081535
disorder,es,366,4.278090203617837
capacity,es,367,4.275685071110603
film,zh,368,4.2691619563298175
obesity,zh,369,4.266657046968859
doctor,zh,370,4.262758868504944
violet,es,371,4.257401915607782
face,en,372,4.253299778282104
wife,en,373,4.2523323364100065
campus,zh,374,4.251455429271077
important,nl,375,4.249066573990332
commercial,zh,376,4.247581791297708
fit,en,377,4.246314589516326
collaboration,zh,378,4.243775651206747
ball,en,379,4.243336973662412
spit,zh,380,4.239761485216189
environment,zh,381,4.23608949208699
survival,zh,382,4.232164201922823
bubble,zh,383,4.22477721602346
quality,zh,384,4.219661937104748
mail,en,385,4.215803196406486
camera,en,386,4.212627841392746
lipstick,zh,387,4.210761503081326
learn,nl,388,4.209132107368923
study,zh,389,4.189752508996251
law,zh,390,4.18822482939006
farm,en,391,4.184759143294679
king,nl,392,4.184047307509553
book,en,393,4.182145515591937
panda,zh,394,4.179551682770137
elegant,zh,395,4.166645380808119
theft,es,396,4.15870518567891
despair,zh,397,4.157996670242244
bias,zh,398,4.15473460586733
biology,zh,399,4.154591636131779
earthquake,zh,400,4.148549095014199
soil,zh,401,4.145422444129271
tension,nl,402,4.144727892213269
wet,en,403,4.144706023908994
student,zh,404,4.141195703802221
fitness,zh,405,4.138828678791897
object,es,406,4.1354006193470125
article,zh,407,4.128251091870038
here,en,408,4.124107162442593
ethnicity,zh,409,4.123157158262832
box,en,410,4.115738958170499
fat,en,411,4.112874972969367
impulse,zh,412,4.109005121126641
raft,nl,413,4.107131156774538
flame,zh,414,4.106317000732475
brown,nl,415,4.103858040552538
separation,es,416,4.094383956658905
value,es,417,4.0914342902773395
landscape,es,418,4.091288470874961
effort,zh,419,4.081874839182898
swim,en,420,4.0816760289206435
geography,zh,421,4.081104831681487
information,es,422,4.078874311313063
sphere,nl,423,4.073100447762876
grandma,nl,424,4.069308138574457
myopia,zh,425,4.063369662739198
tree,en,426,4.061688214589932
border,nl,427,4.056237323005809
noodle,zh,428,4.047867779193318
surgery,zh,429,4.046047428011324
trust,en,430,4.045473022986975
queen,en,431,4.043566017376066
modeling,zh,432,4.035667170943356
winter,nl,433,4.03539953253338
cosmetic,zh,434,4.034196643110058
good,nl,435,4.027975947149675
diver,es,436,4.020747373701052
load,es,437,4.017234113751907
western,zh,438,4.017097305111768
investment,zh,439,4.014230133345939
noise,nl,440,4.006345992807067
bun,zh,441,4.006311529526627
accounting,zh,442,4.003149575057764
nurse,zh,443,4.0020300003674505
technology,zh,444,4.000939266906998
see,es,445,3.9973829114946735
old,nl,446,3.9933153896724196
freedom,es,447,3.981597570056615
depressed,zh,448,3.9759610253648
infinite,es,449,3.9721471684974725
weapon,es,450,3.9708155384192527
brutal,zh,451,3.967610202734255
mechanical,zh,452,3.9640633154969263
blanket,zh,453,3.9605164493908993
pub,zh,454,3.959177844798937
girl,en,455,3.9559115273105023
guilt,nl,456,3.95299421803907
tear,zh,457,3.951036485954097
family,es,458,3.947167273624024
fence,en,459,3.942857359839019
cheese,nl,460,3.9407091291108447
election,es,461,3.9341286703463054
necessary,es,462,3.92715032207966
embrace,zh,463,3.9234562762836163
far,nl,464,3.914362030391115
wash,nl,465,3.9141434266228794
victory,zh,466,3.911184593232732
foreign,en,467,3.91061900203176
heavy,nl,468,3.909778178532824
recommendation,zh,469,3.903874405587134
washer,zh,470,3.901976081174421
tofu,zh,471,3.8999941933445106
earth,es,472,3.899124958288609
cure,es,473,3.8989336428580197
fund,zh,474,3.8972862633973073
open,en,475,3.8826852943071515
red,nl,476,3.8803637314960904
roll,en,477,3.880030987495191
manufacture,zh,478,3.8794749438958145
pay,nl,479,3.8745305922389037
confidence,es,480,3.8733688760999754
firewood,es,481,3.8725089154866947
young,nl,482,3.869872732289513
romantic,zh,483,3.8681567817095788
safe,zh,484,3.861187867538969
formula,zh,485,3.8600712900840777
rotation,zh,486,3.853411078126639
kill,en,487,3.8451517856010997
blast,es,488,3.8427563845429615
grey,nl,489,3.842077351211627
chopstick,zh,490,3.8404804593057045
display,es,491,3.838842387190316
cool,en,492,3.8321406555374824
net,nl,493,3.8313710011115885
membrane,zh,494,3.829460331555888
persuade,es,495,3.828972800878312
forbid,es,496,3.824933629486762
fairness,zh,497,3.8227672306309954
bloody,zh,498,3.8218099921797375
friendship,es,499,3.8202707362017274
above,es,500,3.8201896494970433
communist,zh,501,3.8173353740798923
electric,zh,502,3.8166197438614735
head,en,503,3.807656250400201
pull,es,504,3.8060983286755503
dormitory,zh,505,3.801529530830305
nude,nl,506,3.7999190804280296
driver,zh,507,3.7982312054843073
transparent,zh,508,3.7974430156735903
less,nl,509,3.79733981027654
academic,zh,510,3.7962503893159067
effect,zh,511,3.789646080511634
southern,zh,512,3.785593838867155
hole,en,513,3.783116261869694
sharp,nl,514,3.778040226817506
collective,es,515,3.7779122700662877
mall,zh,516,3.7707847301702277
economy,zh,517,3.7664099607126245
component,nl,518,3.7661740909548853
enjoy,nl,519,3.7634131319496626
traditional,zh,520,3.7590169912988367
daily,es,521,3.757720785276845
shirt,en,522,3.7559166357011446
smiley,zh,523,3.7555571705693622
ice,nl,524,3.7526082416018633
economic,es,525,3.7517709149072522
tiger,zh,526,3.7511242962023386
dinosaur,zh,527,3.750821159753307
pension,nl,528,3.742203186465231
singer,zh,529,3.7421747236127922
warrior,zh,530,3.7412509655387947
shower,zh,531,3.7356785152662364
soup,nl,532,3.7311224848278743
football,es,533,3.727832477573454
idol,zh,534,3.722674592731351
cuisine,nl,535,3.720628051917456
gap,zh,536,3.7158819081503576
boyfriend,zh,537,3.7147304778021573
tire,zh,538,3.7132243280680077
danger,zh,539,3.704261713526929
desire,es,540,3.7029339926679268
surround,zh,541,3.7009218938688826
regime,zh,542,3.7007745192589208
men,es,543,3.694945915114648
exercise,en,544,3.693223266517369
orange,en,545,3.6919824648454656
objectivity,zh,546,3.6876105463157822
dialect,zh,547,3.686227679690339
bible,nl,548,3.680969046351947
seat,nl,549,3.680072316768362
crowd,zh,550,3.676209922965838
home,en,551,3.6707288379488343
password,zh,552,3.6654209120561827
bad,es,553,3.6638274752324107
blade,en,554,3.6636799815683934
self,en,555,3.6601226806727483
send,es,556,3.659116230931414
education,es,557,3.65291785334444
deception,es,558,3.650689037857059
sky,zh,559,3.6437735153982804
holiday,zh,560,3.6314435186516736
goddess,zh,561,3.629043216397257
gate,es,562,3.6276835334510715
comic_strip,zh,563,3.6268590589445115
sign,en,564,3.6254196655692366
worker,zh,565,3.6225044325584617
hungry,zh,566,3.614973024124779
headphone,zh,567,3.611417368232285
defense,es,568,3.610905206800269
reception,nl,569,3.6083385793547684
speech,en,570,3.605302190802292
male,zh,571,3.604291552924185
mature,zh,572,3.6041403899404734
triumph,es,573,3.603307388314447
rich,nl,574,3.602635064791552
world,zh,575,3.6017722856393988
blood,nl,576,3.6013483984238044
skin,en,577,3.601327699499936
can,en,578,3.5972261553562457
updated,zh,579,3.5935567145219243
ornament,es,580,3.592734703991572
typhoon,zh,581,3.590889137193682
socialist,zh,582,3.584952760882815
drama,zh,583,3.5831202841243597
act,es,584,3.5820609898861226
thought,zh,585,3.579293492408465
dress,en,586,3.579183675515637
fine,en,587,3.577162360777764
scent,zh,588,3.577136363604519
dirty,nl,589,3.5759396482049453
routine,es,590,3.575524528628223
pack,en,591,3.5748781814157375
element,es,592,3.5742952886189574
hardness,es,593,3.5699862431029485
speak,es,594,3.5698296744615456
minister,nl,595,3.569492194534288
disadvantage,zh,596,3.56733964851813
sour,en,597,3.567013224294801
grandmother,es,598,3.5662947175966737
restricted,nl,599,3.56500778137369
handmade,zh,600,3.563786966067058
formality,es,601,3.5619643984644145
reverence,nl,602,3.5605723301913925
career,es,603,3.5557375361019523
air,es,604,3.555631489301451
similarity,zh,605,3.5552962961589256
discard,zh,606,3.550454264583287
bulb,zh,607,3.549465118561654
allergy,zh,608,3.5469010303441784
green,nl,609,3.5466388479397235
adolescence,es,610,3.5449335472765826
reflection,es,611,3.5430259178258665
agriculture,nl,612,3.5423495718047042
fire,en,613,3.540206344387063
result,zh,614,3.538007664322157
basin,zh,615,3.5358534346285415
core,nl,616,3.5336808857097237
banquet,zh,617,3.530284554663726
transport,nl,618,3.526287471927849
house,nl,619,3.525432534689171
concern,es,620,3.52490721740769
purity,zh,621,3.515743753553319
spirit,zh,622,3.51509721187931
train,en,623,3.5109224875886933
building,en,624,3.51069761159777
competition,es,625,3.509680106583154
demand,zh,626,3.5091120617612535
clear,en,627,3.50620672388919
vehicle,es,628,3.5058079506415325
bleed,zh,629,3.502040838483513
fair,zh,630,3.5001772250725534
content,nl,631,3.499445430120158
poor,en,632,3.498696834708229
exhaustion,zh,633,3.4970127605409904
many,es,634,3.490619245286992
dream,es,635,3.4891080649335247
stupid,en,636,3.4888720403846416
vitality,zh,637,3.4841657887508166
insight,nl,638,3.4815738410782546
industrial,zh,639,3.481282128797202
fortress,es,640,3.47584236342834
shake,en,641,3.4716123868800204
ironic,zh,642,3.4711997624747704
rat,zh,643,3.470839842178371
rap,nl,644,3.4702501665734595
forest,nl,645,3.4693440725773557
attention,es,646,3.4665587139858527
mythology,zh,647,3.4622854047663467
government,en,648,3.461443261052168
rubber,zh,649,3.460641387296042
food,es,650,3.4562034645752426
average,en,651,3.4548270779235732
audience,nl,652,3.4543533314379125
straight,en,653,3.453931973809617
classical,nl,654,3.453024264933333
shopping,zh,655,3.4524563561344435
suspicion,zh,656,3.4505810878303342
sleep,en,657,3.447504800033965
direction,zh,658,3.445697361466336
calculation,zh,659,3.445285257507275
lock,en,660,3.442092403007985
obligation,es,661,3.4414824989138264
murder,nl,662,3.4390442598749225
killer,es,663,3.438325198393794
jade,zh,664,3.4353507333435696
club,en,665,3.431861687732929
reform,zh,666,3.430508702593773
prison,nl,667,3.4275253391129565
crow,zh,668,3.4268867002058543
glow,zh,669,3.4257127057391368
golden,zh,670,3.4253778755977256
nutrition,zh,671,3.424597363932365
vocal,nl,672,3.4228084571803663
nature,es,673,3.421547460567272
mistake,en,674,3.420305047541917
datum,es,675,3.42000152573843
frame,en,676,3.4196714679028473
noble,zh,677,3.4192022110263554
donkey,nl,678,3.4180297472802077
vampire,zh,679,3.4156245601140975
stream,nl,680,3.41516917032534
merchant,zh,681,3.4111411303767607
privacy,zh,682,3.407513427222378
friendly,nl,683,3.406638967431605
relationship,zh,684,3.4058091974927107
instrument,zh,685,3.405614590579999
personal,nl,686,3.404734810339391
mindset,zh,687,3.4035705487023864
creativity,es,688,3.4025799926407627
wallet,zh,689,3.402002805312084
justice,es,690,3.3991445424308115
syringe,nl,691,3.3972095831792632
sparrow,zh,692,3.3898986710818657
eye,zh,693,3.3887268046123338
save,en,694,3.387025855275815
confident,zh,695,3.3854676087100786
drawer,es,696,3.384538055214778
solid,en,697,3.379472485602618
literature,zh,698,3.3745809984468655
equal,nl,699,3.3691752570408546
skydiving,zh,700,3.362324149412328
martyr,zh,701,3.3613685911433904
violence,nl,702,3.3602276642787228
messy,en,703,3.3578827420199153
introduce,es,704,3.3571079732961624
beast,nl,705,3.357000884485418
barrier,zh,706,3.356572361023887
tram,nl,707,3.353555641295416
feminist,zh,708,3.351598376569782
outbreak,zh,709,3.349615144773382
news,zh,710,3.3490757064789416
listen,nl,711,3.348577040931374
republican,en,712,3.3453868423904836
priest,en,713,3.3451549526303794
story,en,714,3.340869454161336
bad,nl,715,3.336460968491116
luxurious,zh,716,3.335000769873545
separate,es,717,3.3345646222181666
loose,en,718,3.3336679151316435
two,nl,719,3.3333513644458237
word,es,720,3.3304736507627712
lose,es,721,3.3285273066746712
often,en,722,3.320891097278664
civilization,zh,723,3.310249461750237
stretch,en,724,3.3102016146067497
parliament,nl,725,3.3090760226492213
boat,nl,726,3.3082103712407465
darkness,es,727,3.2950721834226537
rigid,es,728,3.294317226340946
wage,zh,729,3.288256157243759
governance,nl,730,3.2858697684897464
lonely,zh,731,3.2837996434616628
fast,en,732,3.2774890597985955
farmer,zh,733,3.276938039874605
whale,en,734,3.2720805897915555
door,nl,735,3.269667881428145
hay,en,736,3.268516642890901
cat,en,737,3.268019815205699
bed,nl,738,3.2660450063054705
imperial,zh,739,3.2601267167162495
sheep,en,740,3.259191965704229
brand,es,741,3.2580214630305977
kitchen,en,742,3.257654842122761
ask,en,743,3.2547005742105917
inequality,es,744,3.253536254345555
bowl,zh,745,3.252597113127707
pregnant,nl,746,3.251994161267582
modern,nl,747,3.2495902013773885
talent,zh,748,3.245099944200947
production,es,749,3.244732647078371
metropolis,zh,750,3.243950266582587
gasoline,nl,751,3.24358684298983
bug,zh,752,3.2393309755287776
seed,es,753,3.2377583231724745
spy,en,754,3.2373466819959305
bad,en,755,3.235961087325553
fruit,zh,756,3.2352326888080123
thirst,nl,757,3.2332828199310386
natural,zh,758,3.231107511007588
construction,es,759,3.2296528047922517
seasonal,zh,760,3.225801125266306
scatter,zh,761,3.2253680445817605
blame,es,762,3.2246095134812953
keyboard,zh,763,3.220512254462464
geometry,es,764,3.2159232696334947
steal,en,765,3.2155112077557266
tide,zh,766,3.21530342042194
change,en,767,3.215281446769456
photo,nl,768,3.212156028729796
cold,en,769,3.2118773567585808
rice,zh,770,3.2090562434747456
hard,en,771,3.208452049578262
curiosity,es,772,3.2070424215179933
dusk,zh,773,3.2034509978061596
knight,nl,774,3.2025181709207255
landowner,zh,775,3.1991207753231334
startup,zh,776,3.188978737112476
metro,zh,777,3.186631869161877
vaccine,es,778,3.1859848365448515
surname,zh,779,3.1849532541849683
past,es,780,3.1837420489110224
door,en,781,3.182523030591082
shoot,nl,782,3.181735455895679
design,zh,783,3.1809392258028764
bullying,nl,784,3.17912040788308
speaker,en,785,3.167374903527032
atmosphere,nl,786,3.1661618012689026
own,nl,787,3.1656557972609956
cover,en,788,3.1591877214287347
solution,nl,789,3.1565885515818826
jury,en,790,3.153190325897365
material,es,791,3.1513539087801554
balloon,zh,792,3.1508102816660233
integrity,zh,793,3.1502988387152686
birthday,es,794,3.1498106311873935
capitalism,es,795,3.148286349181111
illusion,es,796,3.1475584680762467
brain,en,797,3.1465797918403307
pope,es,798,3.146487273459423
hug,es,799,3.1460652070546757
penis,en,800,3.1438427165737073
subject,nl,801,3.1424680121456112
group,en,802,3.141847388330791
mouse,en,803,3.139424260965008
military,en,804,3.136963369790695
kitchen,zh,805,3.1360465357689935
panther,zh,806,3.126568475449433
fall,en,807,3.125223806186304
friend,es,808,3.1236077202957793
teach,es,809,3.123290257023949
image,es,810,3.1230990117775628
leader,en,811,3.122703665934956
defensive,zh,812,3.122665447286058
sleepy,zh,813,3.1225512327021074
outside,nl,814,3.1166569666414508
angel,zh,815,3.114865064194556
battle,en,816,3.1063399604552755
purple,en,817,3.1047889819182877
skull,zh,818,3.1034516607972567
publish,nl,819,3.100092575705382
fill,es,820,3.097296430905485
interested,zh,821,3.097262799803607
khan,zh,822,3.0883805782639393
car,nl,823,3.088121782745972
protection,zh,824,3.0871563400066173
diligent,zh,825,3.086912160284509
suicide,zh,826,3.0839709196431855
satellite,zh,827,3.08273843094491
figure,es,828,3.081067062178142
internet,nl,829,3.078920286191723
dish,es,830,3.0782468449784925
work,es,831,3.077183065591157
marriage,zh,832,3.0685716386518704
fur,en,833,3.066783742190002
signal,es,834,3.066099347912526
rabbit,zh,835,3.0634610569391487
catholic,nl,836,3.0613932547508296
interview,zh,837,3.060646159051548
sky,es,838,3.0598905298721557
sort,en,839,3.059854826179962
coffee,nl,840,3.0589830692896633
scrap,es,841,3.058206018335797
shock,es,842,3.0578414885962117
sting,en,843,3.055769616005142
toxic,zh,844,3.053401328632751
aesthetic,es,845,3.052260431697168
mind,es,846,3.052213052224453
self,zh,847,3.051844195463534
notebook,es,848,3.051508156533891
leaf,es,849,3.0513642450449696
weed,en,850,3.0503327075152815
glass,zh,851,3.048828603384486
frequently,zh,852,3.0470091062106768
new,nl,853,3.046651536848799
evil,en,854,3.044427021014162
snake,zh,855,3.0438848979774398
expedition,zh,856,3.0420661433854086
infect,zh,857,3.0411822305342993
organism,es,858,3.0363368362654533
tap,en,859,3.035655658191274
day,en,860,3.032068239404474
hour,nl,861,3.0300068427117455
humanity,zh,862,3.028859321027972
snow,nl,863,3.0271732671945664
bake,nl,864,3.0262878843673997
